route,flights,avg_arr_delay,pct_delayed
STT-CLT,613,25.8347245409015,29.363784665579118
DFW-TUS,2261,17.021691013722887,29.32330827067669
AUS-RDU,1375,16.74471188913202,29.309090909090905
MSN-DFW,1048,26.836852207293667,29.293893129770993
MDW-PDX,601,10.927852348993289,29.28452579034942
BET-ANC,718,12.032033426183844,29.247910863509752
DFW-AUS,4827,16.861618257261412,29.1692562668324
SEA-JNU,1595,9.72544080604534,29.153605015673982
CLT-BDL,1857,14.932650862068966,29.133010231556273
FLL-AVL,618,20.677471636952998,29.126213592233007
DFW-MEM,2524,15.93851646172154,29.120443740095087
DFW-CLT,4102,15.351404151404152,29.10775231594344
DFW-EGE,898,25.494949494949495,29.06458797327394
DEN-ORF,554,14.882032667876588,29.061371841155236
DAL-SAN,1479,11.28348062542488,29.006085192697768
ORD-PHL,4476,19.54948499776086,28.99910634495085
MIA-AUS,1801,15.990529247910864,28.98389783453637
MIA-IAH,3263,17.268450184501845,28.961078761875577
ATL-SFO,3097,11.430789133247089,28.931223764933804
ECP-DFW,1041,23.603281853281853,28.914505283381363
FLL-LAS,882,9.124858115777526,28.91156462585034
CLT-BUF,1249,15.8125,28.903122497998403
SAN-SAT,654,12.295107033639145,28.899082568807337
DEN-RIC,665,13.146525679758309,28.87218045112782
DAL-TPA,1306,15.422546012269938,28.866768759571208
DFW-MCI,2508,16.831334932054357,28.827751196172247
DEN-BOS,3749,13.18673087212413,28.80768204854628
PHL-PBI,1615,15.267868241143567,28.792569659442723
BWI-CLE,990,12.611336032388664,28.78787878787879
DFW-VPS,1364,16.882916053019144,28.739002932551323
MIA-STL,950,14.160337552742616,28.73684210526316
DSM-CLT,717,27.38268156424581,28.730822873082285
MDW-SMF,620,9.118506493506494,28.70967741935484
BWI-ALB,1658,10.554078549848942,28.70928829915561
FLL-ATL,7608,15.85576923076923,28.66719242902208
BWI-MCI,848,10.325059101654846,28.655660377358487
BOS-RSW,2178,9.491236162361623,28.650137741046834
DFW-SEA,4916,12.435190855276588,28.641171684296175
FLL-BOS,3111,14.084057971014493,28.640308582449375
CLT-SGF,1278,10.887666928515317,28.638497652582164
IAH-STL,734,15.665757162346521,28.610354223433244
MIA-JAX,1853,18.398273070696167,28.602266594711278
ACV-SFO,1028,21.1147859922179,28.599221789883266
CLT-GRR,1056,11.998100664767332,28.59848484848485
CLT-ROC,1063,18.520302171860244,28.598306679209784
ORD-COS,591,11.414965986394558,28.59560067681895
BNA-DFW,3477,22.294575879976918,28.587863100373884
MIA-ATL,6619,16.981845688350983,28.554162260160144
AVL-DCA,564,14.491978609625669,28.54609929078014
EWR-SFO,3921,13.489530132788559,28.538638102524867
EWR-SJU,2222,14.360108303249097,28.532853285328535
FLL-DAL,772,14.305591677503251,28.497409326424872
DCA-PNS,902,16.318534961154274,28.492239467849224
CLT-MEM,1942,14.663575476558474,28.475798146240987
IAH-RSW,787,15.157961783439491,28.46251588310038
CLT-AUS,1888,11.916622411046204,28.44279661016949
CLT-XNA,1540,13.891205211726385,28.44155844155844
ATW-ORD,1816,19.94273127753304,28.41409691629956
PBI-BOS,1968,14.927263479145473,28.40447154471545
CLT-SAN,1613,11.423316708229427,28.394296342219466
