Origin,flights,avg_arr_delay,pct_delayed
JLN,3468,6.271329077190946,16.608996539792386
BHM,70661,4.397502660517914,16.53387299924994
MDT,24346,3.89059990941656,16.524275034913334
PNS,56325,5.602164895226904,16.5219707057257
MCW,2200,7.730541647701411,16.5
MYR,69484,2.7667945426750125,16.487248863047608
CLE,178257,2.480347356883905,16.464430569346504
OGS,1435,13.231468531468531,16.445993031358885
BTV,32181,3.5205581858958386,16.441378453124514
DSM,68332,4.144721216297447,16.43885734355792
LNK,5027,5.875324157191303,16.43127113586632
HOB,1482,16.002702702702702,16.39676113360324
HSV,36428,4.049909205964893,16.38849236850774
ESC,3265,8.541129527317372,16.38591117917305
SPS,4390,5.913360693114455,16.378132118451024
LCH,5320,7.303635336221511,16.35338345864662
ATL,1539687,3.283015380209452,16.347933053925896
MOT,11399,4.889817829798469,16.34353890692166
SLN,3527,8.9475932782683,16.302806918060675
IDA,16919,7.726998044907874,16.289378804893907
SCE,3943,3.354182557843885,16.282018767435964
ECP,37086,4.250040573437922,16.272987111039207
AGS,18152,4.602051508299785,16.24063464081093
SDF,100686,3.6719463995938155,16.210793953479133
MRY,18711,6.070330494402485,16.18299396077174
ABQ,98229,3.3916201630262903,16.17241344205886
GCK,3450,7.546484601975596,16.144927536231883
SHR,3119,6.730025773195877,16.126963770439243
RIW,2439,10.869493618773157,16.113161131611317
ROC,51721,3.14184465831413,16.105643742387038
CHO,13810,3.5483426416189165,16.09703113685735
LBF,3187,7.71769883684376,16.065265139629744
GJT,18447,5.459988048025208,16.045969534341626
KTN,10988,0.21094463731043303,16.017473607571898
ELP,74453,4.322542854449726,16.008757202530454
BFF,3156,7.443845177664975,16.00126742712294
FCA,20446,5.417990975083383,15.978675535557077
TXK,4600,6.1174679138568635,15.978260869565217
JNU,21094,1.235296923443835,15.942922157959611
MCI,208345,2.602005916732809,15.912548897261752
BFL,12238,5.336584965980818,15.893119790815494
LGB,69350,1.5984025651395228,15.835616438356166
BMI,10558,2.814083705039385,15.826861147944687
FAI,18037,1.2010987181621442,15.823030437434163
ANC,86752,1.5250182045147196,15.815197344153448
FAT,52491,4.639350842986581,15.804614124326074
MKE,119150,1.7595694584594685,15.80193033990768
LRD,7409,7.352471225457007,15.791604804966934
IND,195353,2.0930065517082155,15.764795012106289
ICT,42761,3.7928537956888473,15.726947452117585
OKC,97701,3.1758109854935674,15.700965189711466
SAT,163938,3.4323785894560586,15.675438275445593
PAE,8407,2.1261046095056124,15.665516831212084
SBA,32647,3.7637447017630077,15.658406591723589
AEX,10314,5.10434275721364,15.658328485553616
MAF,39284,4.168376460980962,15.652683026168415
SHD,1958,6.961125319693094,15.628192032686414
MHT,27864,0.5706934398503005,15.618719494688488
BPT,3764,4.488019169329074,15.595111583421891
PSP,63763,2.2859096697112133,15.579568088076156
FOD,2216,5.437556561085973,15.568592057761732
DVL,3080,10.125777923354079,15.551948051948052
JST,2819,-1.1352982954545454,15.50195104647038
YAK,3458,-2.4948604992657857,15.50028918449971
LAR,2930,7.4815321477428185,15.494880546075084
OMA,103291,2.070005238751237,15.452459556011656
SMF,233796,2.3504901960784315,15.43610669130353
ONT,107982,2.778144712430427,15.43312774351281
PUW,2295,5.632635253054101,15.42483660130719
TYS,63947,2.243049130455237,15.403380924828374
LEX,35590,2.8980540144752034,15.400393368923854
BIL,20338,3.330376065848489,15.399744320975515
DTW,611137,1.3075129724811254,15.376584955582793
CNY,2604,7.951040863531226,15.360983102918588
ILM,32030,4.023691046224141,15.35747736497034
MLI,17978,2.4749344783360288,15.318722883524307
CMH,176476,1.2216386852818104,15.313697046623902
MSP,580192,0.07895450486318986,15.27942474215432
PSG,3541,0.2699089874857793,15.249929398475008
VEL,2278,6.825857519788919,15.232660228270412
MSN,49673,3.2438281565147236,15.23161476053389
MEI,3266,4.356025758969642,15.18677281077771
PIT,183285,0.9058683983251888,15.157268734484546
HNL,253428,2.2222169548573665,15.152627176160488
HRL,17350,2.1923854642093707,15.141210374639769
SLC,536830,2.1648852139423886,15.127880334556565
SIT,5984,1.3593512417638114,15.12366310160428
CHA,27411,2.9500200942603487,15.063295757177775
APN,2855,6.925834797891037,15.061295971978982
ADQ,3791,0.676074914270641,15.035610656818783
LWB,1717,6.025730994152047,15.02620850320326
ABE,20586,1.2181897895557288,14.961624404935392
BTR,21817,2.959104902816707,14.956226795618097
ATY,1181,4.0689948892674614,14.902624894157492
MOB,14642,2.7542634066159852,14.90233574648272
DDC,2897,12.395083102493075,14.877459440800827
DIK,1728,1.6598955310504933,14.872685185185187
LAN,8468,2.960293074923186,14.867737364194614
AVP,8959,1.780613387060667,14.845406853443466
EVV,10675,0.21076359537897998,14.782201405152225
HYS,3469,7.573036951501154,14.759296627270107
ELM,5203,4.114637430275053,14.741495291178166
EAT,1378,5.325834542815675,14.731494920174166
EUG,36436,4.28102651556827,14.707981117576024
TLH,25163,3.156547358362862,14.692206811588443
RDM,31179,4.33090079084421,14.622021232239648
DEC,3778,9.94510739856802,14.584436209634728
FLG,9186,5.812806807025199,14.576529501415198
CMI,7034,0.11114277571957823,14.572078475973841
TUL,70933,2.1201175323849752,14.56444814120367
GSO,46534,0.3857447312337201,14.539906305067262
IMT,3551,3.577313769751693,14.50295691354548
PDX,264500,1.8759261503962181,14.468052930056711
MBS,7577,2.870805812417437,14.464827768246009
SJC,222311,-0.029939094709528616,14.396048778512984
GSP,62129,1.282295261748863,14.386196462199615
WRG,3553,-0.5290102389078498,14.354066985645932
CRP,18151,2.549619163263053,14.329788992342019
CIU,3539,8.804187889077532,14.241311104831874
GCC,3240,7.667802912922219,14.228395061728394
GPT,15727,3.4483022233547813,14.185795129395306
LIH,64506,1.2981219928604688,14.13976994388119
BRO,7639,5.0635253970337315,14.124885456211548
BOI,108504,1.6875063479312669,14.088881515888815
TUS,78737,2.2537227949599083,14.069624191930096
CAE,27864,1.9122491548586635,14.046798736721216
CSG,5901,3.0639633525619274,14.031520081342144
KOA,71632,1.1865913665846566,13.996537860174223
SUN,8653,3.717035834396382,13.995146192072113
GEG,83375,1.4713026138766097,13.937031484257872
PIB,3053,3.756233595800525,13.920733704552898
